历史性能_NB覆盖等级-sjl_20190222094808,,,,,,,,,,,,,,,
测量类型:,[NB-IoT]覆盖等级 ,,,,,,,,,,,,,,
查询时间:,2019-02-21 00:00:00 - 2019-02-22 00:00:00,,,,,,,,,,,,,,
制表人:,xironghai,,,,,,,,,,,,,,
制表时间:,2019/2/22 9:48,,,,,,,,,,,,,,
序号,开始时间,结束时间,查询粒度,子网,子网名称,网元,网元名称,eNodeB,eNodeB名称,小区,小区名称,覆盖等级,请求,成功,用户数
55,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219338,本溪明山区唐家219338FDD-ZLH(219338),219338,本溪明山区唐家219338FDD-ZLH(219338),71,本溪明山区唐家219338FDDN-ZLH-1(71),1,0,0,0
56,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219338,本溪明山区唐家219338FDD-ZLH(219338),219338,本溪明山区唐家219338FDD-ZLH(219338),71,本溪明山区唐家219338FDDN-ZLH-1(71),0,0,0,0
57,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219338,本溪明山区唐家219338FDD-ZLH(219338),219338,本溪明山区唐家219338FDD-ZLH(219338),73,本溪明山区唐家219338FDDN-ZLH-3(73),2,0,0,0
58,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219338,本溪明山区唐家219338FDD-ZLH(219338),219338,本溪明山区唐家219338FDD-ZLH(219338),73,本溪明山区唐家219338FDDN-ZLH-3(73),1,0,0,0
59,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219338,本溪明山区唐家219338FDD-ZLH(219338),219338,本溪明山区唐家219338FDD-ZLH(219338),73,本溪明山区唐家219338FDDN-ZLH-3(73),0,0,0,0
60,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222866,本溪本溪县碱厂镇镇内222866FDD-ZLH(222866),222866,本溪本溪县碱厂镇镇内222866FDD-ZLH(222866),7,本溪本溪县碱厂镇镇内222866FDDN-ZLH-1(7),0,0,0,0
61,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222866,本溪本溪县碱厂镇镇内222866FDD-ZLH(222866),222866,本溪本溪县碱厂镇镇内222866FDD-ZLH(222866),8,本溪本溪县碱厂镇镇内222866FDDN-ZLH-2(8),0,0,0,0
62,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222863,本溪本溪县田师府粘土矿222863FDD-ZLH(222863),222863,本溪本溪县田师府粘土矿222863FDD-ZLH(222863),7,本溪本溪县田师府粘土矿222863FDDN-ZLH-1(7),0,0,0,0
63,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222863,本溪本溪县田师府粘土矿222863FDD-ZLH(222863),222863,本溪本溪县田师府粘土矿222863FDD-ZLH(222863),9,本溪本溪县田师府粘土矿222863FDDN-ZLH-3(9),0,0,0,0
64,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222863,本溪本溪县田师府粘土矿222863FDD-ZLH(222863),222863,本溪本溪县田师府粘土矿222863FDD-ZLH(222863),8,本溪本溪县田师府粘土矿222863FDDN-ZLH-2(8),0,0,0,0
65,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222862,本溪本溪县滴塔村222862FDD-ZLH(222862),222862,本溪本溪县滴塔村222862FDD-ZLH(222862),7,本溪本溪县滴塔村222862FDDN-ZLH-1(7),2,0,0,0
66,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222862,本溪本溪县滴塔村222862FDD-ZLH(222862),222862,本溪本溪县滴塔村222862FDD-ZLH(222862),7,本溪本溪县滴塔村222862FDDN-ZLH-1(7),1,0,0,0
67,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222862,本溪本溪县滴塔村222862FDD-ZLH(222862),222862,本溪本溪县滴塔村222862FDD-ZLH(222862),7,本溪本溪县滴塔村222862FDDN-ZLH-1(7),0,0,0,0
68,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222862,本溪本溪县滴塔村222862FDD-ZLH(222862),222862,本溪本溪县滴塔村222862FDD-ZLH(222862),9,本溪本溪县滴塔村222862FDDN-ZLH-3(9),2,0,0,0
69,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222862,本溪本溪县滴塔村222862FDD-ZLH(222862),222862,本溪本溪县滴塔村222862FDD-ZLH(222862),9,本溪本溪县滴塔村222862FDDN-ZLH-3(9),1,0,0,0
70,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222862,本溪本溪县滴塔村222862FDD-ZLH(222862),222862,本溪本溪县滴塔村222862FDD-ZLH(222862),9,本溪本溪县滴塔村222862FDDN-ZLH-3(9),0,0,0,0
71,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222862,本溪本溪县滴塔村222862FDD-ZLH(222862),222862,本溪本溪县滴塔村222862FDD-ZLH(222862),8,本溪本溪县滴塔村222862FDDN-ZLH-2(8),2,0,0,0
72,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222862,本溪本溪县滴塔村222862FDD-ZLH(222862),222862,本溪本溪县滴塔村222862FDD-ZLH(222862),8,本溪本溪县滴塔村222862FDDN-ZLH-2(8),1,0,0,0
73,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222862,本溪本溪县滴塔村222862FDD-ZLH(222862),222862,本溪本溪县滴塔村222862FDD-ZLH(222862),8,本溪本溪县滴塔村222862FDDN-ZLH-2(8),0,0,0,0
74,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222861,本溪本溪县田师府山上222861FDD-ZLH(222861),222861,本溪本溪县田师府山上222861FDD-ZLH(222861),7,本溪本溪县田师府山上222861FDDN-ZLH-1(7),2,0,0,0
75,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222861,本溪本溪县田师府山上222861FDD-ZLH(222861),222861,本溪本溪县田师府山上222861FDD-ZLH(222861),7,本溪本溪县田师府山上222861FDDN-ZLH-1(7),1,0,0,0
76,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222861,本溪本溪县田师府山上222861FDD-ZLH(222861),222861,本溪本溪县田师府山上222861FDD-ZLH(222861),7,本溪本溪县田师府山上222861FDDN-ZLH-1(7),0,0,0,0
77,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222861,本溪本溪县田师府山上222861FDD-ZLH(222861),222861,本溪本溪县田师府山上222861FDD-ZLH(222861),9,本溪本溪县田师府山上222861FDDN-ZLH-3(9),2,0,0,0
78,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222861,本溪本溪县田师府山上222861FDD-ZLH(222861),222861,本溪本溪县田师府山上222861FDD-ZLH(222861),9,本溪本溪县田师府山上222861FDDN-ZLH-3(9),1,0,0,0
79,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222861,本溪本溪县田师府山上222861FDD-ZLH(222861),222861,本溪本溪县田师府山上222861FDD-ZLH(222861),9,本溪本溪县田师府山上222861FDDN-ZLH-3(9),0,0,0,0
80,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222861,本溪本溪县田师府山上222861FDD-ZLH(222861),222861,本溪本溪县田师府山上222861FDD-ZLH(222861),8,本溪本溪县田师府山上222861FDDN-ZLH-2(8),2,0,0,0
81,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222861,本溪本溪县田师府山上222861FDD-ZLH(222861),222861,本溪本溪县田师府山上222861FDD-ZLH(222861),8,本溪本溪县田师府山上222861FDDN-ZLH-2(8),1,0,0,0
82,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222861,本溪本溪县田师府山上222861FDD-ZLH(222861),222861,本溪本溪县田师府山上222861FDD-ZLH(222861),8,本溪本溪县田师府山上222861FDDN-ZLH-2(8),0,0,0,0
83,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625634,本溪南芬区桥头街里625634FDD-ZLH(625634),625634,本溪南芬区桥头街里625634FDD-ZLH(625634),78,本溪南芬区桥头街里625634FDDN-ZLH-2(78),2,0,0,0
84,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625634,本溪南芬区桥头街里625634FDD-ZLH(625634),625634,本溪南芬区桥头街里625634FDD-ZLH(625634),78,本溪南芬区桥头街里625634FDDN-ZLH-2(78),1,0,0,0
85,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625634,本溪南芬区桥头街里625634FDD-ZLH(625634),625634,本溪南芬区桥头街里625634FDD-ZLH(625634),78,本溪南芬区桥头街里625634FDDN-ZLH-2(78),0,0,0,0
86,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625634,本溪南芬区桥头街里625634FDD-ZLH(625634),625634,本溪南芬区桥头街里625634FDD-ZLH(625634),79,本溪南芬区桥头街里625634FDDN-ZLH-3(79),2,0,0,0
87,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625634,本溪南芬区桥头街里625634FDD-ZLH(625634),625634,本溪南芬区桥头街里625634FDD-ZLH(625634),79,本溪南芬区桥头街里625634FDDN-ZLH-3(79),1,0,0,0
88,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625634,本溪南芬区桥头街里625634FDD-ZLH(625634),625634,本溪南芬区桥头街里625634FDD-ZLH(625634),79,本溪南芬区桥头街里625634FDDN-ZLH-3(79),0,0,0,0
89,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625634,本溪南芬区桥头街里625634FDD-ZLH(625634),625634,本溪南芬区桥头街里625634FDD-ZLH(625634),77,本溪南芬区桥头街里625634FDDN-ZLH-1(77),2,0,0,0
90,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625634,本溪南芬区桥头街里625634FDD-ZLH(625634),625634,本溪南芬区桥头街里625634FDD-ZLH(625634),77,本溪南芬区桥头街里625634FDDN-ZLH-1(77),1,0,0,0
91,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625634,本溪南芬区桥头街里625634FDD-ZLH(625634),625634,本溪南芬区桥头街里625634FDD-ZLH(625634),77,本溪南芬区桥头街里625634FDDN-ZLH-1(77),0,0,0,0
92,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625644,本溪本溪县清河城625644FDD-ZLH(625644),625644,本溪本溪县清河城625644FDD-ZLH(625644),78,本溪本溪县清河城625644FDDN-ZLH-2(78),2,0,0,0
93,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625644,本溪本溪县清河城625644FDD-ZLH(625644),625644,本溪本溪县清河城625644FDD-ZLH(625644),78,本溪本溪县清河城625644FDDN-ZLH-2(78),1,0,0,0
94,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625644,本溪本溪县清河城625644FDD-ZLH(625644),625644,本溪本溪县清河城625644FDD-ZLH(625644),78,本溪本溪县清河城625644FDDN-ZLH-2(78),0,0,0,0
95,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625644,本溪本溪县清河城625644FDD-ZLH(625644),625644,本溪本溪县清河城625644FDD-ZLH(625644),79,本溪本溪县清河城625644FDDN-ZLH-3(79),2,0,0,0
96,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625644,本溪本溪县清河城625644FDD-ZLH(625644),625644,本溪本溪县清河城625644FDD-ZLH(625644),79,本溪本溪县清河城625644FDDN-ZLH-3(79),1,0,0,0
